subject,checker_type,destination,tested_at
www.nimiq.agency,AVAILABILITY,domains.list,45:07.8
www.nimiq.network,AVAILABILITY,domains.list,45:08.6
www.nimiq-network.com,AVAILABILITY,domains.list,45:09.0
www.nimiqtest.ml,AVAILABILITY,domains.list,45:10.4
www.nimiqtest.net,AVAILABILITY,domains.list,45:13.8
www.nitsche.top,AVAILABILITY,domains.list,45:14.9
www.nkxdyorwbt.com,AVAILABILITY,domains.list,45:15.6
www.noobnoob.ro,AVAILABILITY,domains.list,45:16.8
www.npdaqy6x1j.me,AVAILABILITY,domains.list,45:17.5
www.ns2.cryptotab.net,AVAILABILITY,domains.list,45:18.9
www.ny7f6goy.bid,AVAILABILITY,domains.list,45:19.5
www.ogondkskyahxa.ru,AVAILABILITY,domains.list,45:20.2
www.oinkinns.tk,AVAILABILITY,domains.list,45:21.5
www.okexysylgzo.ru,AVAILABILITY,domains.list,45:22.2
www.old.browsermine.com,AVAILABILITY,domains.list,45:22.9
www.onlinereserchstatistics.online,AVAILABILITY,domains.list,45:23.6
www.open-hive-server-1.pp.ua,AVAILABILITY,domains.list,45:24.0
www.oxwwoeukjispema.ru,AVAILABILITY,domains.list,45:25.2
www.pascal3.science,AVAILABILITY,domains.list,45:25.8
www.pasoherb.gq,AVAILABILITY,domains.list,45:27.4
www.pazl1.ru,AVAILABILITY,domains.list,45:28.7
www.pcejuyhjucmkiny.ru,AVAILABILITY,domains.list,45:29.7
www.pdheuryopd.loan,AVAILABILITY,domains.list,45:30.3
www.pema.cl,AVAILABILITY,domains.list,45:31.3
www.perrege.ru,AVAILABILITY,domains.list,45:32.0
www.pertosj.ru,AVAILABILITY,domains.list,45:32.9
www.pirat2.cl,AVAILABILITY,domains.list,45:35.0
www.pirateproxy.cl,AVAILABILITY,domains.list,45:35.7
www.piratbaypirate.li,AVAILABILITY,domains.list,45:36.8
www.play.intellecthosting.net,AVAILABILITY,domains.list,45:37.4
www.playerassets.info,AVAILABILITY,domains.list,45:38.2
www.plexcoin.info,AVAILABILITY,domains.list,45:39.1
www.podrltid.info,AVAILABILITY,domains.list,45:39.7
www.pol-waw-c1-s1.inf.nimiq.network,AVAILABILITY,domains.list,45:40.2
www.pol-waw-c1-s2.inf.nimiq.network,AVAILABILITY,domains.list,45:40.6
www.pol-waw-c2-s1.inf.nimiq.network,AVAILABILITY,domains.list,45:41.1
www.pol-waw-c2-s2.inf.nimiq.network,AVAILABILITY,domains.list,45:41.6
www.pool2.coinimp.com,AVAILABILITY,domains.list,45:42.3
www.pool.bmnr.pw,AVAILABILITY,domains.list,45:43.1
www.pool.coinimp.com,AVAILABILITY,domains.list,45:43.8
www.pricefbcf.gq,AVAILABILITY,domains.list,45:45.4
www.proj2018.xyz,AVAILABILITY,domains.list,45:46.1
www.psychomining.de,AVAILABILITY,domains.list,45:47.2
www.prsrjdr.ru,AVAILABILITY,domains.list,45:50.1
www.pzoifaum.info,AVAILABILITY,domains.list,45:50.8
www.pushno.com,AVAILABILITY,domains.list,45:51.5
www.qpmsybxqvlje.ru,AVAILABILITY,domains.list,45:52.5
www.r8nu86wg.me,AVAILABILITY,domains.list,45:53.3
www.rbkshort.info,AVAILABILITY,domains.list,45:54.0
www.rctfgrazkha.ru,AVAILABILITY,domains.list,45:54.7
www.realnetwrk.com,AVAILABILITY,domains.list,45:55.4
www.reasedoper.pw,AVAILABILITY,domains.list,45:56.1
www.qlzwfzfatjth.ru,AVAILABILITY,domains.list,45:56.9
www.refreshnerer27.info,AVAILABILITY,domains.list,45:57.8
www.rencohep.com,AVAILABILITY,domains.list,45:58.5
www.my-rigs.com,AVAILABILITY,domains.list,45:59.0
www.refreshnerer27rb.info,AVAILABILITY,domains.list,46:01.2
www.repo.nimiq.com,AVAILABILITY,domains.list,46:02.0
www.reservedoffers.cl,AVAILABILITY,domains.list,46:02.9
www.reservedoffers.club,AVAILABILITY,domains.list,46:08.4
www.retadint.com,AVAILABILITY,domains.list,46:19.0
www.rineventrec.com,AVAILABILITY,domains.list,46:24.6
www.rintindown.com,AVAILABILITY,domains.list,46:25.3
